Tourner,Fraiser,Molleter,Tronconner,Laver,Traiter la surface,Finaliser
Tourner,Fraiser,Molleter,Tronconner,Laver,Traiter la surface,Finaliser
Tourner,Fraiser,Molleter,Tronconner,Laver,Traiter la surface,Finaliser
Fraiser,Molleter,Tronconner,Laver,Finaliser,,
Tourner,Laver,Finaliser,,,,
Tourner,Laver,Traiter la surface,Finaliser,,,
Fraiser,Laver,Traiter la surface,Finaliser,,,
Fraiser,Molleter,Tronconner,Laver,Finaliser,,
Tourner,Molleter,Tronconner,Laver,Traiter la surface,Finaliser,
Tourner,Fraiser,Laver,Finaliser,,,
Tourner,Fraiser,Laver,Traiter la surface,Finaliser,,
